trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-28.042590442586075,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,9,-41.51510009048435,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,17,-20.38705741772706,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-214.7734593850786,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,4,-174.2337448042232,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-68.0577430733178,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,-4.36179283234142,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-69.37532803728006,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-143.1082849152004,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,13,-22.015413175378782,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,3,-44.9443625828199,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,10,-29.82177497682474,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-72.60851695762294,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,8,-6.711342781155849,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-90.61844611498093,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,-53.5606367968297,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-105.90904056350932,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-32.23790020678223,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-86.14763551938812,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,1.8943461508801624,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,15,8.375449990376739,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-71.12845742087752,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,18,20.65085358217826,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,-9.215626573568617,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-45.06660955670756,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,10,-23.345441758406547,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-4.3882028619080025,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,14,11.848556397117376,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,4,-4.500278953472176,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,1,23.834215846043957,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
