trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,0,-105.61015810452801,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.998}",25,20,5.5907251684921935,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-89.11245339885906,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-110.39441143169309,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,0,-140.004982157965,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,16,7.416299412274208,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.993}",25,0,-133.92686221152468,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-117.1670545334038,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.991}",20,0,-163.50461553904955,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-74.03574731866613,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.989}",30,0,-170.49690478536198,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,0,-111.108048140866,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-165.36774181942113,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-58.621064114047456,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-70.20137397255313,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-70.45805188753857,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.983}",25,0,-112.11827302086498,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.982}",25,0,-129.97711145704287,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.981}",25,0,-89.76496078642822,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.98}",25,0,-160.39985129942727,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.979}",20,0,-121.33307795812036,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
