trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.75854101328316,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.66818338350481,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.16556563148978,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-87.68628263920819,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,26,16.733451769067948,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.79330441165212,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,11,4.930168252335159,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,9,-20.821074402898002,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.88512680581974,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-321.3297918982545,"{0: 11, 1: 2, 2: 10, 3: 3, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.25770043833458,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-146.89347033205692,"{0: 23, 1: 0, 2: 9, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.59647857675284,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.96977222939523,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.36662204404428,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.48799659570867,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,16,-9.209697134120255,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,3,-10.512575125449615,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.50590934138523,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-299.78884664505904,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.5845760419529,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-181.2984482842923,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.82836710350598,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.33559689084373,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.483935508415,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.8896519040657,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.97963767711342,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.49566384053878,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.56413072927403,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.5673792749585,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
